--- Debug Log Started: 2025-08-02 02:33:58 ---
💬 [02:33:58] [set_debug_to_file_mode] Debug to File: Enabled. Output will be saved to: C:\Users\4483\OneDrive\Documents\GitHub\Spectrum-Automation---ZAP\50 - Python Code\OPEN-AIR\DATA\Debug.log
🚫🐛 [33.58] [debug_logic.py | v20250802.0152.1 | set_debug_to_file_mode] Debug logging to file enabled. Output will be saved to: C:\Users\4483\OneDrive\Documents\GitHub\Spectrum-Automation---ZAP\50 - Python Code\OPEN-AIR\DATA\Debug.log. Overwriting previous log!
🚫🐛 [33.58] [ConsoleTab.py | v20250802.0157.1 | _toggle_debug_to_file_mode] Toggling debug output to file. Current state: True
🚫🐛 [34.00] [main_app.py | v20250802.0155.1 | _on_parent_tab_change] Parent tab changed.
🚫🐛 [34.00] [tab_scanning_child_scan_configuration.py | v20250802.0014.1 | _on_tab_selected] Scan Configuration Tab selected. Refreshing UI elements! Version: 20250802.0014.1
🚫🐛 [34.00] [tab_scanning_child_scan_configuration.py | v20250802.0014.1 | _load_band_selections_from_config] Loading band selections from config.ini... Syncing checkboxes with saved settings! Version: 20250802.0014.1
🚫🐛 [34.00] [main_app.py | v20250802.0155.1 | callback] Tkinter variable 'band_var_Low VHF+FM' changed. Saving config.
🚫🐛 [34.00] [config_manager.py | v20250802.0152.7 | save_config] Saving configuration to C:\Users\4483\OneDrive\Documents\GitHub\Spectrum-Automation---ZAP\50 - Python Code\OPEN-AIR\DATA\config.ini. Persisting changes!
🚫🐛 [34.00] [config_manager.py | v20250802.0152.7 | save_config] Saved 'general_debug_enabled_var' with value 'True'. Data stored!
🚫🐛 [34.00] [config_manager.py | v20250802.0152.7 | save_config] Saved 'log_visa_commands_enabled_var' with value 'True'. Data stored!
🚫🐛 [34.00] [config_manager.py | v20250802.0152.7 | save_config] Saved 'debug_to_terminal_var' with value 'True'. Data stored!
🚫🐛 [34.00] [config_manager.py | v20250802.0152.7 | save_config] Saved 'debug_to_file_var' with value 'True'. Data stored!
🚫🐛 [34.00] [config_manager.py | v20250802.0152.7 | save_config] Saved 'include_console_messages_to_debug_file_var' with value 'True'. Data stored!
🚫🐛 [34.00] [config_manager.py | v20250802.0152.7 | save_config] Saved 'paned_window_sash_position_var' with value '700'. Data stored!
🚫🐛 [34.00] [config_manager.py | v20250802.0152.7 | save_config] Saved 'last_config_save_time_var' with value 'Last Saved: 2025-08-02 02:33:58'. Data stored!
🚫🐛 [34.00] [config_manager.py | v20250802.0152.7 | save_config] Saved 'selected_resource' with value ''. Data stored!
