Parameter,Active,Default_value,VISA_Command,validated
COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY,true,0,:POWer:ATTenuation,NOT YET
COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/10DB/ANY/ANY,true,10,:POWer:ATTenuation,NOT YET
COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/20DB/ANY/ANY,true,20,:POWer:ATTenuation,NOT YET
COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/30DB/ANY/ANY,true,30,:POWer:ATTenuation,NOT YET
COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/40DB/ANY/ANY,true,40,:POWer:ATTenuation,NOT YET
COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/50DB/ANY/ANY,true,50,:POWer:ATTenuation,NOT YET
COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/60DB/ANY/ANY,true,60,:POWer:ATTenuation,NOT YET
COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/70DB/ANY/ANY,true,70,:POWer:ATTenuation,NOT YET
COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER AUTO/OFF/ANY/ANY,true,OFF,:POWer:ATTenuation:AUTO,NOT YET
COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER AUTO/ON/ANY/ANY,true,ON,:POWer:ATTenuation:AUTO,NOT YET
COMMANDS/AMPLITUDE/DO/AUTO/ATTENUATION/OFF/ANY/ANY,true,OFF,:INPut:ATTenuation:AUTO,NOT YET
COMMANDS/AMPLITUDE/DO/AUTO/ATTENUATION/ON/ANY/ANY,true,ON,:INPut:ATTenuation:AUTO,NOT YET
COMMANDS/AMPLITUDE/DO/GAIN/POWER/OFF/ANY/ANY,true,OFF,:POWer:GAIN,NOT YET
COMMANDS/AMPLITUDE/DO/GAIN/POWER/ON/ANY/ANY,true,ON,:POWer:GAIN,NOT YET
COMMANDS/AMPLITUDE/DO/HIGH SENSITIVE/POWER/OFF/Keysight Technologies/N9340B,,,:DISPlay:WINDow:TRACe:Y:RLEVel 0; :POWer:ATTenuation 20; :POWer:GAIN OFF,NOT YET
COMMANDS/AMPLITUDE/DO/HIGH SENSITIVE/POWER/OFF/Keysight Technologies/N9342CN,true,OFF,:POWer:HSENsitive,NOT YET
