💡📝❌🔴 Arrr, the code be capsized! The error be: main thread is not in main loop | display/right_40/bottom_90/tab_4_conductor/gui_mqtt_conductor.py | 20250824.211633.1 Function: _on_sys_message
💡📝🔍🔵 Processing file: 'dataset_program_scanning.json' | OPEN-AIR/datasets/worker_dataset_publisher.py | 20250823.2015.2 Function: dataset_publisher.main
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Instrument' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Instrument' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Connection' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Connection' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Frequency' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Frequency' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Showtime' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Showtime' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Pusher' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Pusher' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Calculator' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Calculator' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Bands' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Bands' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'From File' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'From File' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Mosquitto' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Mosquitto' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Scan' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🖥️🔵 Received MQTT message on topic 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/default_value'. Processing message one-by-one... | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.205035.10 Function: TranslatorGUI._on_commands_message
💡📝🔍🔵 Entering '_on_tab_change' to log a tab change. | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🔴 Tab 'Scan' deselected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝📘🟢 Tab 'Translator' selected! | gui_display.py | 20250822.230500.2 Function: Application._on_tab_change
💡📝🛠️🔵 Received data for 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/default_value'. Storing in buffer. Payload: {"value": "\"0\""} | worker_mqtt_data_flattening.py | 20250824.211334.6 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
💡📝🖥️🔵 Received MQTT message on topic 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/VISA_Command_value'. Processing message one-by-one... | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.205035.10 Function: TranslatorGUI._on_commands_message
💡📝🛠️🔵 Received data for 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/VISA_Command_value'. Storing in buffer. Payload: {"value": "\":POWer:ATTenuation\""} | worker_mqtt_data_flattening.py | 20250824.211334.6 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
💡📝🖥️🔵 Received MQTT message on topic 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/validated_value'. Processing message one-by-one... | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.205035.10 Function: TranslatorGUI._on_commands_message
💡📝🛠️🔵 Received data for 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/0DB/ANY/ANY/validated_value'. Storing in buffer. Payload: {"value": "\"NOT YET\""} | worker_mqtt_data_flattening.py | 20250824.211334.6 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
💡📝🛠️🟢 Full data set received. Commencing pivoting and flattening! | worker_mqtt_data_flattening.py | 20250824.211334.6 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
💡📝🛠️🔍 The data buffer has been wiped clean. A fresh start for our experiments! | worker_mqtt_data_flattening.py | 20250824.211334.6 Function: MqttDataFlattenerUtility.clear_buffer
💡📝🛠️✅ Behold! I have transmogrified the data! The final payload is below. | worker_mqtt_data_flattening.py | 20250824.211334.6 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
💡📝🖥️🔵 Received MQTT message on topic 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/10DB/ANY/ANY/default_value'. Processing message one-by-one... | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.205035.10 Function: TranslatorGUI._on_commands_message
💡📝🛠️🔵 Received data for 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/10DB/ANY/ANY/default_value'. Storing in buffer. Payload: {"value": "\"10\""} | worker_mqtt_data_flattening.py | 20250824.211334.6 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
💡📝🖥️🔵 Received MQTT message on topic 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/10DB/ANY/ANY/VISA_Command_value'. Processing message one-by-one... | tab_1_instrument/sub_tab_3_translator/gui_translator.py | 20250824.205035.10 Function: TranslatorGUI._on_commands_message
💡📝🛠️🔵 Received data for 'OPEN-AIR/devices/scpi/COMMANDS/AMPLITUDE/DO/ATTENUATION/POWER/10DB/ANY/ANY/VISA_Command_value'. Storing in buffer. Payload: {"value": "\":POWer:ATTenuation\""} | worker_mqtt_data_flattening.py | 20250824.211334.6 Function: MqttDataFlattenerUtility.process_mqtt_message_and_pivot
