Filename,Center,Span,RBW,NickName
14MON.STA,500.0,60.0,30000.0,This is important
24MON.STA,560.0,60.0,30000.0,24MON
34MON.STA,620.0,60.0,30000.0,34MON is good
44MON.STA,680.0,60.0,30000.0,44MON
470608MON.STA,539.0,138.0,30000.0,470608MON
02.STA,71.0,34.0,300000.0,FUCK FACE
07.STA,196.0,44.0,300000.0,07
14.STA,500.0,60.0,300000.0,14
1MHZ.STA,1.0,0.0,30000.0,1MHZ
24.STA,560.0,60.0,300000.0,24
22GHZCAMS.STA,2250.0,100.0,1000000.0,22GHZCAMS
2GHZCAMS.STA,2175.0,250.0,1000000.0,Wireless cameras
34.STA,620.0,60.0,300000.0,34
3GHZCAMS.STA,3225.0,150.0,1000000.0,3GHZCAMS
44.STA,680.0,60.0,300000.0,44
45070LMR.STA,460.0,20.0,3000.0,45070LMR
450WT470.STA,460.0,20.0,10000.0,450WT470
DECT_NA.STA,1925.0,10.0,100000.0,DECT NA
DECT_EU.STA,1890.0,20.0,300000.0,DECT EU
FM.STA,98.0,22.0,100000.0,FM
AFTRAC.STA,1485.0,100.0,300000.0,AFTRAC
CP-DVW.STA,587.5,155.0,30000.0,CP-DVW
946.STA,953.0,18.0,100000.0,946
946-A.STA,951.5,21.0,300000.0,946-A
596GHZ.STA,5950.0,200.0,1000000.0,596GHZ
902.STA,915.0,26.0,300000.0,902
54.STA,710.0,120.0,1000000.0,54
470TO608.STA,539.0,138.0,30000.0,470TO608
