ZONE,GROUP,DEVICE,NAME,FREQ_MHZ,PEAK
10 CBC AXIENT MICS,,None - None - G10,,,
10 CBC AXIENT MICS,,None - None - G10,,,
10 CBC AXIENT MICS,,None - None - G10,,,
10 CBC AXIENT MICS,,None - None - G10,,,
10 CBC AXIENT MICS,,None - None - G10,,,
10 CBC AXIENT MICS,,None - None - G10,,,
10 CBC AXIENT MICS,,None - None - G10,,,
00.TechStores,,Shure - PSM900 - G7,Shure IEM 1,,
00.TechStores,,Shure - PSM900 - G7,Shure IEM 2,,
00.TechStores,,None - None - G7,,,
00.TechStores,,Shure - PSM900 - G7,Shure IEM 4,,
01.STUDIO.55.FLOOR.K,,None - None - 42,,,
10.ST.41.ROGERS.IFB15.20,,None - None - G10,,,
10.ST.41.ROGERS.IFB15.20,,None - None - G10,,,
10.ST.41.ROGERS.MICS.20,,None - None - G57,,,
CBC ENG,,None - None - TV14-36,,,
CBC ENG,,None - None - TV14-36,,,
CBC ENG,,None - None - TV14-36,,,
CBC ENG,,None - None - TV14-36,,,
CBC ENG,,None - None - TV14-36,,,
CBC ENG,,None - None - TV14-36,,,
CBC ENG,,None - None - TV14-36,,,
CBC ENG,,None - None - TV14-36,,,
CBC ENG,,None - None - TV14-36,,,
CBC ENG,,None - None - TV14-36,,,
01.STUDIO.55.FLOOR.K,,None - None - 43,,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-21,,
06.ST.38.WEATHER CENTER,,Sennheiser - EM 3732-II - L,Sennheiser,,
01.STUDIO.55.FLOOR.K,,None - None - 43,,,
10.ST.41.ROGERS.IFB.J8E,,None - None - J8E,,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-S1,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-S2,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-S3,,
10.ST.41.ROGERS.MICS.20,10.Rogers 2020,Shure - AD4D-A - G57,R-MC-S4,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-6,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-7,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-5,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,OMPENG-8,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-8,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-7,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-6,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-5,,
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-01,,
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-02,,
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-03,,
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-04,,
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-05,,
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-06,,
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-07,,
10.ST.41.ROGERS.IFB14.20,,Shure - PSM1000 - G10,IFB-08,,
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-09,,
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-10,,
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-11,,
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-12,,
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-13,,
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-14,,
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-15,,
10.ST.41.ROGERS.IFB15.20,,Shure - PSM1000 - G10,IFB-16,,
10.ST.41.ROGERS.IFB16.20,,Shure - PSM1000 - G10,IFB-17,,
10.ST.41.ROGERS.IFB16.20,,Shure - PSM1000 - G10,IFB-18,,
10.ST.41.ROGERS.IFB16.20,,Shure - PSM1000 - G10,IFB-19,,
10.ST.41.ROGERS.IFB16.20,,Shure - PSM1000 - G10,IFB-20,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-1,,
10.ST.41.ROGERS.ENG.20,,Sony - DWR-S02DN - TV22-25,DSQENG-2,,
