KeyLevel_1,KeyLevel_2,KeyLevel_3,KeyLevel_4,KeyLevel_5,default_value,Manufacturer_value,Manufacturer_Device_value,VISA_Command_value,validated_value
AMPLITUDE,DO,LEVEL,REFERENCE,-120,-120,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-115,-115,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-110,-110,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-105,-105,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-100,-100,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-95,-95,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-90,-90,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-85,-85,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-80,-80,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-75,-75,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-70,-70,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-65,-65,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-60,-60,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-55,-55,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-50,-50,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-45,-45,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-40,-40,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-35,-35,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
AMPLITUDE,DO,LEVEL,REFERENCE,-30,-30,ANY,ANY,:DISPlay:WINDow:TRACe:Y:RLEVel,NOT YET
